"filename", "language", "YAML", "HTML", "Markdown", "JSON", "Dart", "C++", "CMake", "Shell Script", "JavaScript", "Batch", "Firebase Rules", "Properties", "XML", "Swift", "comment", "blank", "total"
"e:\web_project2\ceyiz_diz\scripts\setup_version_config.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 5, 12, 78
"e:\web_project2\ceyiz_diz\scripts\setup_version_config.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 11, 21, 112
"e:\web_project2\ceyiz_diz\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 23
"e:\web_project2\ceyiz_diz\web\index.html", "HTML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 49
"e:\web_project2\ceyiz_diz\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\web_project2\ceyiz_diz\web\manifest.webmanifest", "JSON", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"e:\web_project2\ceyiz_diz\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"e:\web_project2\ceyiz_diz\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"e:\web_project2\ceyiz_diz\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 33
"e:\web_project2\ceyiz_diz\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\web_project2\ceyiz_diz\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"e:\web_project2\ceyiz_diz\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"e:\web_project2\ceyiz_diz\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"e:\web_project2\ceyiz_diz\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\web_project2\ceyiz_diz\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\web_project2\ceyiz_diz\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"e:\web_project2\ceyiz_diz\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
