"filename", "language", "YAML", "JSON", "HTML", "C++", "CMake", "Markdown", "Dart", "Firebase Rules", "Properties", "XML", "Swift", "comment", "blank", "total"
"e:\web_project2\ceyiz_diz\lib\data\repositories\trousseau_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 11, 52
"e:\web_project2\ceyiz_diz\lib\data\services\firebase_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"e:\web_project2\ceyiz_diz\lib\data\services\storage_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 7, 30
"e:\web_project2\ceyiz_diz\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 3, 57
"e:\web_project2\ceyiz_diz\lib\l10n\app_localizations.dart", "Dart", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 64, 16, 134
"e:\web_project2\ceyiz_diz\lib\l10n\app_localizations_en.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 3, 11
"e:\web_project2\ceyiz_diz\lib\l10n\app_localizations_tr.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 3, 11
"e:\web_project2\ceyiz_diz\lib\l10n\generated\app_localizations.dart", "Dart", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 324, 81, 524
"e:\web_project2\ceyiz_diz\lib\l10n\generated\app_localizations_en.dart", "Dart", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 3, 68, 212
"e:\web_project2\ceyiz_diz\lib\l10n\generated\app_localizations_tr.dart", "Dart", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 3, 68, 212
"e:\web_project2\ceyiz_diz\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 1, 8, 79
"e:\web_project2\ceyiz_diz\lib\presentation\providers\auth_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 412, 0, 0, 0, 0, 12, 57, 481
"e:\web_project2\ceyiz_diz\lib\presentation\providers\category_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 3, 16, 125
"e:\web_project2\ceyiz_diz\lib\presentation\providers\locale_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\ceyiz_diz\lib\presentation\providers\product_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 436, 0, 0, 0, 0, 19, 67, 522
"e:\web_project2\ceyiz_diz\lib\presentation\providers\trousseau_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 397, 0, 0, 0, 0, 23, 68, 488
"e:\web_project2\ceyiz_diz\lib\presentation\router\app_router.dart", "Dart", 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 3, 6, 208
"e:\web_project2\ceyiz_diz\lib\presentation\screens\auth\forgot_password_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 14, 194
"e:\web_project2\ceyiz_diz\lib\presentation\screens\auth\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 6, 19, 242
"e:\web_project2\ceyiz_diz\lib\presentation\screens\auth\register_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 7, 25, 319
"e:\web_project2\ceyiz_diz\lib\presentation\screens\home\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 6, 13, 180
"e:\web_project2\ceyiz_diz\lib\presentation\screens\home\statistics_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 4, 24, 262
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\add_product_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 310, 0, 0, 0, 0, 11, 21, 342
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\category_management_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 1, 12, 240
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\edit_product_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 349, 0, 0, 0, 0, 0, 23, 372
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\product_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 409, 0, 0, 0, 0, 5, 15, 429
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\product_list_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 611, 0, 0, 0, 0, 10, 27, 648
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\change_password_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 0, 4, 21, 232
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 5, 18, 223
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\settings_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 381, 0, 0, 0, 0, 6, 21, 408
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\theme_settings_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 233, 0, 0, 0, 0, 7, 10, 250
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\create_trousseau_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 11, 170
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\edit_trousseau_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 13, 158
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\share_trousseau_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 16, 230
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\shared_trousseau_list_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 5, 76
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\trousseau_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 557, 0, 0, 0, 0, 14, 22, 593
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\category_chip.dart", "Dart", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 4, 101
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\custom_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 5, 71
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\custom_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 5, 91
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\draggable_fab.dart", "Dart", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 2, 9, 94
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\empty_state_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 4, 64
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\filter_pill.dart", "Dart", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 5, 7, 114
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\image_picker_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 10, 191
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\loading_overlay.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\responsive_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\responsive_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 5, 44
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\web_frame.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 7, 4, 37
"e:\web_project2\ceyiz_diz\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 25, 129
"e:\web_project2\ceyiz_diz\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 10, 89
"e:\web_project2\ceyiz_diz\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"e:\web_project2\ceyiz_diz\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\web_project2\ceyiz_diz\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\web_project2\ceyiz_diz\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"e:\web_project2\ceyiz_diz\linux\runner\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\web_project2\ceyiz_diz\linux\runner\my_application.cc", "C++", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 25, 29, 145
"e:\web_project2\ceyiz_diz\linux\runner\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\web_project2\ceyiz_diz\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 3, 4, 31
"e:\web_project2\ceyiz_diz\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 4, 13
"e:\web_project2\ceyiz_diz\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
"e:\web_project2\ceyiz_diz\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\web_project2\ceyiz_diz\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"e:\web_project2\ceyiz_diz\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"e:\web_project2\ceyiz_diz\public\index.html", "HTML", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 90
"e:\web_project2\ceyiz_diz\pubspec.yaml", "YAML", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 61
"e:\web_project2\ceyiz_diz\storage.cors.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\ceyiz_diz\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 6, 3, 23
"e:\web_project2\ceyiz_diz\web\index.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 16, 5, 41
"e:\web_project2\ceyiz_diz\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\web_project2\ceyiz_diz\web\manifest.webmanifest", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"e:\web_project2\ceyiz_diz\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 20, 109
"e:\web_project2\ceyiz_diz\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"e:\web_project2\ceyiz_diz\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"e:\web_project2\ceyiz_diz\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\web_project2\ceyiz_diz\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"e:\web_project2\ceyiz_diz\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"e:\web_project2\ceyiz_diz\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"e:\web_project2\ceyiz_diz\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\web_project2\ceyiz_diz\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\web_project2\ceyiz_diz\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"e:\web_project2\ceyiz_diz\windows\runner\utils.cpp", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"e:\web_project2\ceyiz_diz\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"e:\web_project2\ceyiz_diz\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"e:\web_project2\ceyiz_diz\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 47, 352, 99, 574, 469, 88, 9682, 49, 16, 565, 73, 963, 1452, 14429
