"filename", "language", "Markdown", "JSON", "Dart", "C++", "CMake", "YAML", "HTML", "Swift", "Firebase Rules", "XML", "Batch", "Properties", "comment", "blank", "total"
"e:\web_project2\ceyiz_diz\lib\core\constants\app_colors.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 77
"e:\web_project2\ceyiz_diz\lib\core\constants\app_constants.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 24
"e:\web_project2\ceyiz_diz\lib\core\constants\app_strings.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 29
"e:\web_project2\ceyiz_diz\lib\core\errors\exceptions.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"e:\web_project2\ceyiz_diz\lib\core\localization\locale_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\ceyiz_diz\lib\core\theme\design_tokens.dart", "Dart", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 71, 327
"e:\web_project2\ceyiz_diz\lib\core\themes\app_theme.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"e:\web_project2\ceyiz_diz\lib\core\themes\design_system.dart", "Dart", 0, 0, 767, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 52, 875
"e:\web_project2\ceyiz_diz\lib\core\themes\theme_provider.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 60
"e:\web_project2\ceyiz_diz\lib\core\utils\currency_formatter.dart", "Dart", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 16, 117
"e:\web_project2\ceyiz_diz\lib\core\utils\formatters.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"e:\web_project2\ceyiz_diz\lib\core\utils\validators.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"e:\web_project2\ceyiz_diz\lib\data\models\category_model.dart", "Dart", 0, 0, 379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 39, 462
